candidate_id,lon,lat,depth_mllw,town,approval_probability,town_logit_prior,access_score,d_access_m,homes_500m,homes_1000m,mean_land_value,distance_to_shore,dist_lease_cluster,log_mean_land_value,log_distance_to_shore,log_dist_lease_cluster
57501,-68.6108775844667,44.21909520162584,0.07379,Deer Isle,0.1579562904954243,-2.608210480151823,0.0041605836872473335,8223.149857675437,9,35,41500.0,95.78396065476765,1862.7130247895805,10.633472802314019,4.572481284838269,7.530326026735043
73588,-68.34255400265833,44.42493475865643,0.03927,Bar Harbor,0.15792807103119047,-2.1967483585046703,0.04953887282234593,4507.496412089022,0,85,41500.0,302.9483980104929,648.5515244740122,10.633472802314019,5.716857943611646,6.476282162408447
32772,-69.319849812389,43.9447072128884,2.98017,Cushing,0.15743835565057607,-0.9736958196190448,0.14238024526237547,2923.8810250767215,7,12,41500.0,3.3669751957999314,569.2228056456127,10.633472802314019,1.474070594569714,6.346027171549703
57730,-68.5889541984974,44.221269209489215,0.96748,Deer Isle,0.15619829092940432,-2.608210480151823,0.0019074435677608197,9392.98706946193,2,9,41500.0,30.954870275005398,2297.9325007798793,10.633472802314019,3.46432460347909,7.740200164079825
58747,-68.80487599612279,44.23309601093659,0.77051,Deer Isle,0.15613248665929436,-2.608210480151823,0.0006508140234382294,11005.929952277713,0,0,0.0,41.697163142504635,783.6155518695371,0.0,3.754132481083862,6.66519385497786
57921,-68.7955157398743,44.22407649306108,0.29619,Deer Isle,0.15613248665929436,-2.608210480151823,0.0006325723182210854,11048.574010185228,0,0,0.0,39.23323594607544,866.69500895768,0.0,3.6946934188709415,6.765840280746114
83689,-68.27816398600936,44.55283476620606,0.64027,Franklin,0.15472249620651002,-2.2236050040163233,0.005348359771388082,7846.44802480233,0,3,3466.6666666666665,232.65094559701294,1699.18516161768,8.151237216402786,5.453828316204426,7.438492442711743
34849,-69.4290615406859,43.96910914171093,0.20133,Bremen,0.15308710811989942,-1.6438125964936672,0.10164793433072555,3429.3600907561145,1,3,1400566.6666666667,49.79041123653436,2217.106200528916,14.152388188592708,3.9277075815816027,7.704409047976359
48378,-68.42718911070274,44.11928630199443,3.5927,Swans Island,0.15235390571163268,-1.819666252467264,0.19463494045121346,2454.94436285762,1,3,47500.0,18.822886795472844,750.9269476809168,10.768506042432708,2.986837168925125,6.622639175189717
81432,-67.58352590524323,44.51257164507921,2.63065,Beals,0.1521719337279488,-2.69200042088692,0.6441315559032849,659.7784415805638,27,112,19134.5,55.551861114248915,1265.1869826918878,9.859300527646454,4.035158112971043,7.143765287447393
